"","V1.x","V2.x","Bin","bin","Database","Number","V1.y","V2.y","V3","V4","V5","V6"
"11","HLKIFKOJ_00024","2737_tnpA_CP002881.1_1","3final_SemiBin_31.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_31.fa","MGEs","2737_tnpA_CP002881.1","2737_tnpA_CP002881.1","transposase","tnpA",NA,NA,NA
"12","AFNIILIM_01116","441_tnpA_BX936398.1_1","3final_SemiBin_38.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_38.fa","MGEs","441_tnpA_BX936398.1","441_tnpA_BX936398.1","transposase","tnpA",NA,NA,NA
"13","GDFOEMGC_02412","771_tnpA_ISKpn24_KR822247.1_1","3final_SemiBin_61.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_61.fa","MGEs","771_tnpA_ISKpn24_KR822247.1","771_tnpA_ISKpn24_KR822247.1","transposase","tnpA",NA,NA,NA
"14","HPGBBLAH_00098","2575_IS91_AP014651.1_1","3final_SemiBin_85.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_85.fa","MGEs","2575_IS91_AP014651.1","2575_IS91_AP014651.1","insertion_element_IS91","IS91",NA,NA,NA
"15","GLHBCBNB_00732","990_tnpA2_CP002879.1_1","3final_SemiBin_94.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_94.fa","MGEs","990_tnpA2_CP002879.1","990_tnpA2_CP002879.1","transposase","tnpA2",NA,NA,NA
"16","IAFFDJHI_00641","499_intI1_JX486125.1_1","4final_SemiBin_20.fa_PROKKA_07062024.faaMGE.txt","4final_SemiBin_20.fa","MGEs","499_intI1_JX486125.1","499_intI1_JX486125.1","integrase","intI1",NA,NA,NA
"17","ODFCIBKI_02974","499_intI1_JX486125.1_1","4final_SemiBin_25.fa_PROKKA_07062024.faaMGE.txt","4final_SemiBin_25.fa","MGEs","499_intI1_JX486125.1","499_intI1_JX486125.1","integrase","intI1",NA,NA,NA
"18","FANKKAOK_00396","920_tnpA_CP002880.1_1","4final_SemiBin_39.fa_PROKKA_07062024.faaMGE.txt","4final_SemiBin_39.fa","MGEs","920_tnpA_CP002880.1","920_tnpA_CP002880.1","transposase","tnpA",NA,NA,NA
"19","PIELPGML_00528","2449_tnpA_AYLZ02000164.1_1","4final_SemiBin_40.fa_PROKKA_07062024.faaMGE.txt","4final_SemiBin_40.fa","MGEs","2449_tnpA_AYLZ02000164.1","2449_tnpA_AYLZ02000164.1","transposase","tnpA",NA,NA,NA
"20","HENPJIML_00086","1269_IS91_CP002783.1_1","4final_SemiBin_41.fa_PROKKA_07062024.faaMGE.txt","4final_SemiBin_41.fa","MGEs","1269_IS91_CP002783.1","1269_IS91_CP002783.1","insertion_element_IS91","IS91",NA,NA,NA
"21","DCJBHNDH_00210","2530_tnpA_AOCI01000035.1_1","4final_SemiBin_99.fa_PROKKA_07062024.faaMGE.txt","4final_SemiBin_99.fa","MGEs","2530_tnpA_AOCI01000035.1","2530_tnpA_AOCI01000035.1","transposase","tnpA",NA,NA,NA
"22","LHMILHBE_01006","945_tnpA_AB032203.1_1","5final_SemiBin_2.fa_PROKKA_07062024.faaMGE.txt","5final_SemiBin_2.fa","MGEs","945_tnpA_AB032203.1","945_tnpA_AB032203.1","transposase","tnpA",NA,NA,NA
"23","MKIKOGMP_01602","1523_tnpA1_JFHO01000231.1_1","5final_SemiBin_9.fa_PROKKA_07062024.faaMGE.txt","5final_SemiBin_9.fa","MGEs","1523_tnpA1_JFHO01000231.1","1523_tnpA1_JFHO01000231.1","transposase","tnpA1",NA,NA,NA
"24","NHBBOMPF_00168","1053_IS91_MOXO01000337.1_1","6final_SemiBin_11.fa_PROKKA_07062024.faaMGE.txt","6final_SemiBin_11.fa","MGEs","1053_IS91_MOXO01000337.1","1053_IS91_MOXO01000337.1","insertion_element_IS91","IS91",NA,NA,NA
"25","DIIBPOJI_00652","2575_IS91_AP014651.1_1","6final_SemiBin_12.fa_PROKKA_07062024.faaMGE.txt","6final_SemiBin_12.fa","MGEs","2575_IS91_AP014651.1","2575_IS91_AP014651.1","insertion_element_IS91","IS91",NA,NA,NA
"26","IPIGLLNB_00538","990_tnpA2_CP002879.1_1","6final_SemiBin_16.fa_PROKKA_07062024.faaMGE.txt","6final_SemiBin_16.fa","MGEs","990_tnpA2_CP002879.1","990_tnpA2_CP002879.1","transposase","tnpA2",NA,NA,NA
"27","MGPGPGFJ_01309","1396_tnpA_LM676407.1_1","6final_SemiBin_22.fa_PROKKA_07062024.faaMGE.txt","6final_SemiBin_22.fa","MGEs","1396_tnpA_LM676407.1","1396_tnpA_LM676407.1","transposase","tnpA",NA,NA,NA
"28","HGOCJNFO_01123","344_tnpA_LM676437.1_1","6final_SemiBin_3.fa_PROKKA_07062024.faaMGE.txt","6final_SemiBin_3.fa","MGEs","344_tnpA_LM676437.1","344_tnpA_LM676437.1","transposase","tnpA",NA,NA,NA
"29","GBONGHDI_00479","1197_tnpA_AY365117.2_1","6final_SemiBin_38.fa_PROKKA_07062024.faaMGE.txt","6final_SemiBin_38.fa","MGEs","1197_tnpA_AY365117.2","1197_tnpA_AY365117.2","transposase","tnpA",NA,NA,NA
