"","V1","V2","Bin","bin","Database","GI_number","GenBank_ID","Gene_name","Organism","Compound","NCBI_annotation"
"16","BDOCEFGB_00348","gi|498017724|ref|WP_010331880.1|","1final_SemiBin_20.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_20.fa","MRG",498017724,"WP_010331880.1","csoR","Bacillus mojavensis","Copper (Cu)"," transcriptional regulator "
"17","BDOCEFGB_01451","gi|671511731|ref|WP_031497805.1|","1final_SemiBin_20.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_20.fa","MRG",671511731,"WP_031497805.1","arsM","Bryobacter aggregatus","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"18","BDOCEFGB_02921","gi|551309470|ref|WP_022929385.1|","1final_SemiBin_20.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_20.fa","MRG",551309470,"WP_022929385.1","arsM","Patulibacter americanus","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"19","GDOBJBHA_00460","gi|739147971|ref|WP_037012586.1|","1final_SemiBin_22.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_22.fa","MRG",739147971,"WP_037012586.1","sodA","Pseudomonas lutea","Selenium (Se), Hydrogen Peroxide (H2O2) [class: Peroxides]"," superoxide dismutase "
"20","GDOBJBHA_00560","gi|1205012279|ref|WP_087745067.1|","1final_SemiBin_22.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_22.fa","MRG",1205012279,"WP_087745067.1","copF","Acidovorax","Copper (Cu)"," MULTISPECIES: copper-translocating P-type ATPase "
"21","JEFJIDJD_04287","gi|1209927823|ref|WP_088433429.1|","1final_SemiBin_26.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_26.fa","MRG",1209927823,"WP_088433429.1","copF","Stenotrophomonas maltophilia","Copper (Cu)"," copper-translocating P-type ATPase "
"22","BEJENBDI_00793","gi|884832411|emb|CKO15032.1|","1final_SemiBin_34.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_34.fa","MRG",884832411,"CKO15032.1","ctpG","Mycobacterium tuberculosis","Copper (Cu)"," ATPase P "
"23","HAIKAGEN_00203","gi|443343197|gb|ELS57338.1|","1final_SemiBin_5.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_5.fa","MRG",443343197,"ELS57338.1","arsM","Streptomyces viridochromogenes Tue57","Arsenic (As)"," putative methyltransferase type 11 "
"24","HAIKAGEN_00524","gi|982913234|ref|WP_060394848.1|","1final_SemiBin_5.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_5.fa","MRG",982913234,"WP_060394848.1","sodA","Pseudomonas monteilii","Selenium (Se), Hydrogen Peroxide (H2O2) [class: Peroxides]"," superoxide dismutase "
"25","HAIKAGEN_01227","gi|1225903635|ref|WP_093897397.1|","1final_SemiBin_5.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_5.fa","MRG",1225903635,"WP_093897397.1","nmtR","Streptomyces sp. Ncost-T10-10d","Nickel (Ni), Cadmium (Cd), Lead (Pb)"," ArsR family transcriptional regulator "
"26","NGGGJLIH_01346","gi|1223140417|ref|WP_091180777.1|","2final_SemiBin_13.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_13.fa","MRG",1223140417,"WP_091180777.1","arsT","Microbacterium humi","Arsenic (As)"," thioredoxin-disulfide reductase "
"27","BPPODHII_00875","gi|950291143|ref|WP_057322312.1|","2final_SemiBin_16.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_16.fa","MRG",950291143,"WP_057322312.1","arsT","Nocardioides sp. Soil797","Arsenic (As)"," thioredoxin-disulfide reductase "
"28","GJIOFGAD_00279","gi|498432180|ref|WP_010737925.1|","2final_SemiBin_23.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_23.fa","MRG",498432180,"WP_010737925.1","copA","Enterococcus hirae","Copper (Cu), Silver (Ag)"," copper-importing P-type ATPase A "
"29","FFHJCDLG_00053","gi|1225903635|ref|WP_093897397.1|","2final_SemiBin_3.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_3.fa","MRG",1225903635,"WP_093897397.1","nmtR","Streptomyces sp. Ncost-T10-10d","Nickel (Ni), Cadmium (Cd), Lead (Pb)"," ArsR family transcriptional regulator "
"30","BONJHCOA_01057","gi|757160764|ref|WP_042714852.1|","2final_SemiBin_34.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_34.fa","MRG",757160764,"WP_042714852.1","pstB","Enterobacteriaceae","Arsenic (As)"," MULTISPECIES: phosphate ABC transporter ATP-binding protein PstB "
"31","BONJHCOA_01493","gi|1082155416|gb|OFW05407.1|","2final_SemiBin_34.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_34.fa","MRG",1082155416,"OFW05407.1","arsM","Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"32","BONJHCOA_01495","gi|749577512|ref|WP_040205743.1|","2final_SemiBin_34.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_34.fa","MRG",749577512,"WP_040205743.1","arsB","Bacillus","Arsenic (As), Antimony (Sb)"," MULTISPECIES: arsenical-resistance protein "
"33","GIFBHLCI_00539","gi|1084721899|gb|OGP66248.1|","2final_SemiBin_4.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_4.fa","MRG",1084721899,"OGP66248.1","copA","Deltaproteobacteria bacterium RBG_13_47_9","Copper (Cu), Silver (Ag)"," copper-translocating P-type ATPase "
"34","CGMAKNMN_01358","gi|1148737462|ref|WP_077471798.1|","2final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_6.fa","MRG",1148737462,"WP_077471798.1","soxR","Rhizobium sp. P44RR-XXIV","Methyl Viologen [class: Paraquat]"," redox-sensitive transcriptional activator SoxR "
"35","CGMAKNMN_01440","gi|551309470|ref|WP_022929385.1|","2final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","2final_SemiBin_6.fa","MRG",551309470,"WP_022929385.1","arsM","Patulibacter americanus","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"36","PDCKCNLI_01811","gi|755106520|ref|WP_042457296.1|","3final_SemiBin_12.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_12.fa","MRG",755106520,"WP_042457296.1","arsB","Bacillus dielmoensis","Arsenic (As), Antimony (Sb)"," arsenical-resistance protein "
"37","PDCKCNLI_01813","gi|651321841|ref|WP_026446224.1|","3final_SemiBin_12.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_12.fa","MRG",651321841,"WP_026446224.1","arsM","Acidobacteriaceae bacterium URHE0068","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"38","PDCKCNLI_02072","gi|1122248018|ref|WP_073984087.1|","3final_SemiBin_12.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_12.fa","MRG",1122248018,"WP_073984087.1","mdtB/yegN","Escherichia coli","Sodium Deoxycholate (SDC) [class: Acid], Hydrochloric acid (HCl) [class: Acid]"," multidrug transporter subunit MdtB "
"39","BPHEMJLL_00003","gi|443343197|gb|ELS57338.1|","3final_SemiBin_16.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_16.fa","MRG",443343197,"ELS57338.1","arsM","Streptomyces viridochromogenes Tue57","Arsenic (As)"," putative methyltransferase type 11 "
"40","OGMKCNIB_00464","gi|1124259401|ref|WP_074557858.1|","3final_SemiBin_26.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_26.fa","MRG",1124259401,"WP_074557858.1","mdtC/yegO","Escherichia coli","Sodium Deoxycholate (SDC) [class: Acid]"," multidrug transporter subunit MdtC "
"41","DLLKNDFA_01176","gi|1129562739|ref|WP_075511759.1|","3final_SemiBin_29.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_29.fa","MRG",1129562739,"WP_075511759.1","ctpV","Mycobacterium kansasii","Copper (Cu)"," copper-translocating P-type ATPase "
"42","HLKIFKOJ_01453","gi|1061969868|ref|WP_069275831.1|","3final_SemiBin_31.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_31.fa","MRG",1061969868,"WP_069275831.1","chrC","Bradyrhizobium elkanii","Chromium (Cr)"," superoxide dismutase "
"43","PBICJEAM_00393","gi|1159827397|ref|WP_079364976.1|","3final_SemiBin_34.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_34.fa","MRG",1159827397,"WP_079364976.1","copF","Hydrogenophaga sp. H7","Copper (Cu)"," copper-translocating P-type ATPase "
"44","JDAIELGM_03345","gi|918743149|ref|WP_052596565.1|","3final_SemiBin_36.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_36.fa","MRG",918743149,"WP_052596565.1","arsC","Luteipulveratus mongoliensis","Arsenic (As)"," arsenate reductase ArsC "
"45","BPJCJHFO_02385","gi|1221796783|ref|WP_089910922.1|","3final_SemiBin_37.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_37.fa","MRG",1221796783,"WP_089910922.1","arsC","Leifsonia sp. 21MFCrub1.1","Arsenic (As)"," arsenate reductase ArsC "
"46","LIAMHLOE_00086","gi|1084109074|gb|OGL08436.1|","3final_SemiBin_41.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_41.fa","MRG",1084109074,"OGL08436.1","arsC","Candidatus Rokubacteria bacterium RIFCSPLOWO2_02_FULL_73_56","Arsenic (As)"," protein-tyrosine-phosphatase "
"47","OMHKJBMC_00249","gi|1268623795|ref|WP_098923853.1|","3final_SemiBin_57.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_57.fa","MRG",1268623795,"WP_098923853.1","arsB","Bacillus anthracis","Arsenic (As), Antimony (Sb)"," arsenical-resistance protein "
"48","OMHKJBMC_00256","gi|1180864882|ref|WP_084318941.1|","3final_SemiBin_57.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_57.fa","MRG",1180864882,"WP_084318941.1","actP","Deferrisoma camini","Copper (Cu), Sodium acetate [class: Acetate]"," copper-translocating P-type ATPase "
"49","HGHKOPJM_00659","gi|1167857246|ref|WP_080159865.1|","3final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_6.fa","MRG",1167857246,"WP_080159865.1","pstB","Salmonella enterica","Arsenic (As)"," phosphate ABC transporter ATP-binding protein PstB, partial "
"50","HGHKOPJM_00903","gi|1125246833|gb|OLB93622.1|","3final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_6.fa","MRG",1125246833,"OLB93622.1","arsC","Actinobacteria bacterium 13_2_20CM_2_66_6","Arsenic (As)"," heat-shock protein HtpX "
"51","GDFOEMGC_04105","gi|1125279099|gb|OLC23624.1|","3final_SemiBin_61.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_61.fa","MRG",1125279099,"OLC23624.1","arsM","Chloroflexi bacterium 13_1_40CM_55_7","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"52","GDFOEMGC_04107","gi|1085291194|gb|OGU68653.1|","3final_SemiBin_61.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_61.fa","MRG",1085291194,"OGU68653.1","acr3","Ignavibacteria bacterium GWC2_38_9","Arsenic (As)"," arsenical-resistance protein "
"53","MFKNKFNJ_01426","gi|551309470|ref|WP_022929385.1|","3final_SemiBin_65.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_65.fa","MRG",551309470,"WP_022929385.1","arsM","Patulibacter americanus","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"54","OMAGMIFK_00088","gi|1184707815|ref|WP_085267031.1|","3final_SemiBin_97.fa_PROKKA_07062024.faaBacMetPD.txt","3final_SemiBin_97.fa","MRG",1184707815,"WP_085267031.1","ctpV","Mycobacterium longobardum","Copper (Cu)"," copper-translocating P-type ATPase "
"55","IPIHHDOK_02104","gi|750437874|ref|WP_040719756.1|","4final_SemiBin_13.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_13.fa","MRG",750437874,"WP_040719756.1","acn","Nocardia veterana","Iron (Fe)"," aconitate hydratase "
"56","AKCAKPKC_01259","gi|443343197|gb|ELS57338.1|","4final_SemiBin_17.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_17.fa","MRG",443343197,"ELS57338.1","arsM","Streptomyces viridochromogenes Tue57","Arsenic (As)"," putative methyltransferase type 11 "
"57","ODFCIBKI_01528","gi|1082736642|gb|OGA55561.1|","4final_SemiBin_25.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_25.fa","MRG",1082736642,"OGA55561.1","arsM","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"58","MFLONPDB_00768","gi|740407372|ref|WP_038240912.1|","4final_SemiBin_26.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_26.fa","MRG",740407372,"WP_038240912.1","pstB","Xenorhabdus szentirmaii","Arsenic (As)"," phosphate ABC transporter ATP-binding protein PstB "
"59","MFLONPDB_00817","gi|1011626819|ref|WP_062477198.1|","4final_SemiBin_26.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_26.fa","MRG",1011626819,"WP_062477198.1","actR","Rhizobium","Cadmium (Cd), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid], Sodium azide [class: Azide]"," MULTISPECIES: DNA-binding response regulator "
"60","KGJCHJPN_02497","gi|1125373690|gb|OLD11490.1|","4final_SemiBin_28.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_28.fa","MRG",1125373690,"OLD11490.1","arsM","Chloroflexi bacterium 13_1_40CM_3_70_6","Arsenic (As)"," hypothetical protein AUJ06_00385 "
"61","IOIDKICC_01262","gi|736135362|ref|WP_034266874.1|","4final_SemiBin_30.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_30.fa","MRG",736135362,"WP_034266874.1","arsT","Actinospica robiniae","Arsenic (As)"," thioredoxin-disulfide reductase "
"62","KPDBJBJB_02055","gi|1221796783|ref|WP_089910922.1|","4final_SemiBin_33.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_33.fa","MRG",1221796783,"WP_089910922.1","arsC","Leifsonia sp. 21MFCrub1.1","Arsenic (As)"," arsenate reductase ArsC "
"63","DDHFCCOP_00428","gi|1264326648|ref|WP_097941448.1|","4final_SemiBin_34.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_34.fa","MRG",1264326648,"WP_097941448.1","acn","Mycobacterium agri","Iron (Fe)"," aconitate hydratase "
"64","ALKNGLEF_00508","gi|1159827397|ref|WP_079364976.1|","4final_SemiBin_44.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_44.fa","MRG",1159827397,"WP_079364976.1","copF","Hydrogenophaga sp. H7","Copper (Cu)"," copper-translocating P-type ATPase "
"65","HMKFAGCP_00658","gi|647291150|ref|WP_025735827.1|","4final_SemiBin_45.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_45.fa","MRG",647291150,"WP_025735827.1","acn","Mycobacterium genavense","Iron (Fe)"," aconitate hydratase "
"66","MOADAOIH_00082","gi|503630542|ref|WP_013864618.1|","4final_SemiBin_51.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_51.fa","MRG",503630542,"WP_013864618.1","arsM","Microlunatus phosphovorus","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"67","MOADAOIH_01853","gi|739459875|ref|WP_037319824.1|","4final_SemiBin_51.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_51.fa","MRG",739459875,"WP_037319824.1","furA","Amycolatopsis orientalis","Iron (Fe)"," transcriptional repressor "
"68","MOADAOIH_05946","gi|736135362|ref|WP_034266874.1|","4final_SemiBin_51.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_51.fa","MRG",736135362,"WP_034266874.1","arsT","Actinospica robiniae","Arsenic (As)"," thioredoxin-disulfide reductase "
"69","IILIPKLO_02835","gi|495504971|ref|WP_008229618.1|","4final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","4final_SemiBin_6.fa","MRG",495504971,"WP_008229618.1","actP","Roseobacter sp. GAI101","Copper (Cu), Sodium acetate [class: Acetate]"," copper-translocating P-type ATPase "
"70","LHMILHBE_03449","gi|764120695|ref|WP_044307704.1|","5final_SemiBin_2.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_2.fa","MRG",764120695,"WP_044307704.1","mdtB/yegN","Escherichia coli","Sodium Deoxycholate (SDC) [class: Acid], Hydrochloric acid (HCl) [class: Acid]"," multidrug transporter subunit MdtB "
"71","LMKCHCPN_00219","gi|736135362|ref|WP_034266874.1|","5final_SemiBin_20.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_20.fa","MRG",736135362,"WP_034266874.1","arsT","Actinospica robiniae","Arsenic (As)"," thioredoxin-disulfide reductase "
"72","EKLNPJAP_00644","gi|1125521151|gb|OLE38958.1|","5final_SemiBin_24.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_24.fa","MRG",1125521151,"OLE38958.1","arsM","Actinobacteria bacterium 13_1_20CM_3_68_9","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"73","EEPGPKHP_00191","gi|817110226|ref|WP_046483473.1|","5final_SemiBin_29.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_29.fa","MRG",817110226,"WP_046483473.1","mntH/yfeP","Citrobacter amalonaticus","Manganese (Mn), Iron (Fe), Cadmium (Cd), Cobalt (Co), Zinc (Zn)"," divalent metal cation transporter "
"74","OGHMJBOH_00052","gi|1221796783|ref|WP_089910922.1|","5final_SemiBin_3.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_3.fa","MRG",1221796783,"WP_089910922.1","arsC","Leifsonia sp. 21MFCrub1.1","Arsenic (As)"," arsenate reductase ArsC "
"75","OGHMJBOH_00582","gi|576403118|gb|ETZ96969.1|","5final_SemiBin_3.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_3.fa","MRG",576403118,"ETZ96969.1","acn","Mycobacterium kansasii 824","Iron (Fe)"," aconitate hydratase 1 "
"76","FNHPINMP_00602","gi|1006146004|ref|WP_061731851.1|","5final_SemiBin_32.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_32.fa","MRG",1006146004,"WP_061731851.1","mtrR","Neisseria meningitidis","Triton X-100 [class: Polyethylene glycol], Crystal Violet [class: Triarylmethane]"," TetR family transcriptional regulator "
"77","ADLACHOM_00377","gi|1079314188|ref|WP_070121878.1|","5final_SemiBin_36.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_36.fa","MRG",1079314188,"WP_070121878.1","ybtQ","Salmonella enterica","Iron (Fe)"," ABC transporter ATP-binding protein, partial "
"78","ADLACHOM_00559","gi|1084109074|gb|OGL08436.1|","5final_SemiBin_36.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_36.fa","MRG",1084109074,"OGL08436.1","arsC","Candidatus Rokubacteria bacterium RIFCSPLOWO2_02_FULL_73_56","Arsenic (As)"," protein-tyrosine-phosphatase "
"79","MPOKECOG_00648","gi|1125402495|gb|OLD37222.1|","5final_SemiBin_38.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_38.fa","MRG",1125402495,"OLD37222.1","copB","Candidatus Rokubacteria bacterium 13_1_40CM_2_68_8","Copper (Cu)"," copper-translocating P-type ATPase "
"80","MPOKECOG_01422","gi|1177583856|ref|WP_082719983.1|","5final_SemiBin_38.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_38.fa","MRG",1177583856,"WP_082719983.1","actP","Kordiimonas lipolytica","Copper (Cu), Sodium acetate [class: Acetate]"," copper-translocating P-type ATPase "
"81","MMIFLCAC_00145","gi|1142623135|gb|APW49066.1|","5final_SemiBin_48.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_48.fa","MRG",1142623135,"APW49066.1","copF","Acinetobacter lwoffii","Copper (Cu)"," putative copper exporting P-type ATPase (plasmid) "
"82","MMIFLCAC_00169","gi|1085291194|gb|OGU68653.1|","5final_SemiBin_48.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_48.fa","MRG",1085291194,"OGU68653.1","acr3","Ignavibacteria bacterium GWC2_38_9","Arsenic (As)"," arsenical-resistance protein "
"83","MMIFLCAC_00271","gi|1180864882|ref|WP_084318941.1|","5final_SemiBin_48.fa_PROKKA_07062024.faaBacMetPD.txt","5final_SemiBin_48.fa","MRG",1180864882,"WP_084318941.1","actP","Deferrisoma camini","Copper (Cu), Sodium acetate [class: Acetate]"," copper-translocating P-type ATPase "
"84","EGGJGHJI_00335","gi|1167857246|ref|WP_080159865.1|","6final_SemiBin_0.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_0.fa","MRG",1167857246,"WP_080159865.1","pstB","Salmonella enterica","Arsenic (As)"," phosphate ABC transporter ATP-binding protein PstB, partial "
"85","NHBBOMPF_00465","gi|489496231|ref|WP_003401147.1|","6final_SemiBin_11.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_11.fa","MRG",489496231,"WP_003401147.1","ricR","Mycobacterium","Copper (Cu)"," MULTISPECIES: hypothetical protein "
"86","BJJPPKIJ_00319","gi|503438821|ref|WP_013673482.1|","6final_SemiBin_14.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_14.fa","MRG",503438821,"WP_013673482.1","ctpV","Pseudonocardia dioxanivorans","Copper (Cu)"," copper-translocating P-type ATPase "
"87","KBIJPGLP_01032","gi|1023975598|ref|WP_063466265.1|","6final_SemiBin_15.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_15.fa","MRG",1023975598,"WP_063466265.1","ctpV","Mycobacterium kansasii","Copper (Cu)"," copper-translocating P-type ATPase "
"88","BFPBLHFJ_01328","gi|1011498383|ref|WP_062392928.1|","6final_SemiBin_18.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_18.fa","MRG",1011498383,"WP_062392928.1","nmtR","Gordonia sp. QH-11","Nickel (Ni), Cadmium (Cd), Lead (Pb)"," transcriptional regulator "
