"","V1","V2","Bin","bin","Database","ARO.Accession","CVTERM.ID","Model.Sequence.ID","Model.ID","Model.Name","ARO.Name","Protein.Accession","DNA.Accession","AMR.Gene.Family","Drug.Class","Resistance.Mechanism","CARD.Short.Name"
"15","OKOFEPGN_00030","gb|AAG04568.1|ARO:3003895|Paer_PhoP_CST","1final_SemiBin_14.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_14.fa","CARD-ARGs","ARO:3003895",40597,5367,1600,"Pseudomonas mutant PhoP conferring resistance to colistin","Pseudomonas mutant PhoP conferring resistance to colistin","AAG04568.1","AE004091.2","ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase;transmembrane protein conferring colistin resistance","macrolide antibiotic;peptide antibiotic","antibiotic efflux;antibiotic target alteration;resistance by absence","Paer_PhoP_CST"
"16","OKOFEPGN_00371","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","1final_SemiBin_14.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_14.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"17","KCENFCOK_00348","gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl","1final_SemiBin_2.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_2.fa","CARD-ARGs","ARO:3002948",39382,576,786,"vanH gene in vanO cluster","vanH gene in vanO cluster","AHA41499.1","KF478993.1","glycopeptide resistance gene cluster;vanH","glycopeptide antibiotic","antibiotic target alteration","vanH_in_vanO_cl"
"18","BDOCEFGB_02486","gb|AHA41501.1|ARO:3002954|vanX_in_vanO_cl","1final_SemiBin_20.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_20.fa","CARD-ARGs","ARO:3002954",39388,23,1699,"vanX gene in vanO cluster","vanX gene in vanO cluster","AHA41501.1","KF478993.1","glycopeptide resistance gene cluster;vanX","glycopeptide antibiotic","antibiotic target alteration","vanX_in_vanO_cl"
"19","BDOCEFGB_02487","gb|AHA41500.1|ARO:3002913|vanO","1final_SemiBin_20.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_20.fa","CARD-ARGs","ARO:3002913",39347,675,1754,"vanO","vanO","AHA41500.1","KF478993.1","Van ligase;glycopeptide resistance gene cluster","glycopeptide antibiotic","antibiotic target alteration","vanO"
"20","BDOCEFGB_03203","gb|AHA41505.1|ARO:3002930|vanR_in_vanO_cl","1final_SemiBin_20.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_20.fa","CARD-ARGs","ARO:3002930",39364,4685,1689,"vanR gene in vanO cluster","vanR gene in vanO cluster","AHA41505.1","KF478993.1","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic","antibiotic target alteration","vanR_in_vanO_cl"
"21","BDOCEFGB_03903","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","1final_SemiBin_20.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_20.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"22","BDOCEFGB_03908","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","1final_SemiBin_20.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_20.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"23","JEFJIDJD_00036","gb|CAA67349.1|ARO:3003359|Scin_EFTu_ELF","1final_SemiBin_26.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_26.fa","CARD-ARGs","ARO:3003359",39943,3578,2310,"Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin","Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin","CAA67349.1","X98831.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Scin_EFTu_ELF"
"24","JEFJIDJD_00166","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","1final_SemiBin_26.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_26.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"25","JEFJIDJD_02456","gb|CAA67349.1|ARO:3003359|Scin_EFTu_ELF","1final_SemiBin_26.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_26.fa","CARD-ARGs","ARO:3003359",39943,3578,2310,"Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin","Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin","CAA67349.1","X98831.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Scin_EFTu_ELF"
"26","JEFJIDJD_02512","gb|APB03222.1|ARO:3003992|rphB","1final_SemiBin_26.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_26.fa","CARD-ARGs","ARO:3003992",40874,3864,2528,"rphB","rphB","APB03222.1","KX531052.1","rifampin phosphotransferase","rifamycin antibiotic","antibiotic inactivation","rphB"
"27","CKNFAOMG_01124","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","1final_SemiBin_29.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_29.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"28","LPBKMLDL_00336","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","1final_SemiBin_32.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_32.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"29","LPBKMLDL_00637","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","1final_SemiBin_32.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_32.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"30","BEJENBDI_00906","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","1final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_34.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"31","JLMCBNDC_00668","gb|CAA67349.1|ARO:3003359|Scin_EFTu_ELF","1final_SemiBin_4.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_4.fa","CARD-ARGs","ARO:3003359",39943,3578,2310,"Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin","Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin","CAA67349.1","X98831.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Scin_EFTu_ELF"
"32","HAIKAGEN_00650","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","1final_SemiBin_5.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_5.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"33","FFFFGNGJ_00005","gb|CCA59315.1|ARO:3007208|HelR","1final_SemiBin_7.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_7.fa","CARD-ARGs","ARO:3007208",45952,8511,5819,"HelR","HelR","CCA59315.1","FR845719.1","helicase-like RNA polymerase protection protein","rifamycin antibiotic","antibiotic target protection","HelR"
"34","KCFBDLCE_00312","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","1final_SemiBin_9.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_9.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"35","CICPODHL_00705","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","2final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_10.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"36","CICPODHL_02244","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","2final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_10.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"37","CICPODHL_02544","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","2final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_10.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"38","CHDFGALK_01960","gb|ADK17136.1|ARO:3004563|Cdif_rpoB_RIF","2final_SemiBin_14.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_14.fa","CARD-ARGs","ARO:3004563",42470,5315,3269,"Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","ADK17136.1","CP001666.1","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic","antibiotic target alteration;antibiotic target replacement","Cdif_rpoB_RIF"
"39","DECKANIF_00724","gb|NP_862226.1|ARO:3004639|Cstr_tetA","2final_SemiBin_15.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_15.fa","CARD-ARGs","ARO:3004639",42633,5448,3337,"Corynebacterium striatum tetA","Corynebacterium striatum tetA","NP_862226.1","NC_004939.1","major facilitator superfamily (MFS) antibiotic efflux pump","penicillin beta-lactam;tetracycline antibiotic","antibiotic efflux","Cstr_tetA"
"40","JIKPLIGA_00140","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","2final_SemiBin_18.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_18.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"41","JIKPLIGA_00313","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","2final_SemiBin_18.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_18.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"42","FFHJCDLG_02192","gb|AJP09758.1|ARO:3004681|Cdif_rpoC_VAN","2final_SemiBin_3.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_3.fa","CARD-ARGs","ARO:3004681",42730,5565,3380,"Clostridioides difficile rpoC with mutation conferring resistance to vancomycin","Clostridioides difficile rpoC with mutation conferring resistance to vancomycin","AJP09758.1","CP010905.2","vancomycin-resistant beta prime subunit of RNA polymerase (rpoC)","glycopeptide antibiotic","antibiotic target alteration","Cdif_rpoC_VAN"
"43","BONJHCOA_00693","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","2final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_34.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"44","BONJHCOA_01950","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","2final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_34.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"45","BONJHCOA_02203","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","2final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_34.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"46","BONJHCOA_02204","gb|AAW90462.1|ARO:3003930|rpsJ","2final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_34.fa","CARD-ARGs","ARO:3003930",40640,5267,2406,"rpsJ","rpsJ","AAW90462.1","AE004969.1","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection","rpsJ"
"47","GIFBHLCI_02163","gb|NP_216424.1|ARO:3003392|Mtub_katG_INH","2final_SemiBin_4.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_4.fa","CARD-ARGs","ARO:3003392",39976,8833,1176,"Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid","Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid","NP_216424.1","NC_000962.3","isoniazid resistant katG","isoniazid-like antibiotic","antibiotic target alteration","Mtub_katG_INH"
"48","GIFBHLCI_03948","gb|AFJ38137.1|ARO:3007370|FosI","2final_SemiBin_4.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_4.fa","CARD-ARGs","ARO:3007370",46117,8592,5898,"FosI","FosI","AFJ38137.1","CP003505.2","fosfomycin thiol transferase","phosphonic acid antibiotic","antibiotic inactivation","FosI"
"49","OBHNELJM_00927","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","2final_SemiBin_5.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_5.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"50","CGMAKNMN_00996","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","2final_SemiBin_6.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_6.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"51","CGMAKNMN_02487","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","2final_SemiBin_6.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_6.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"52","CGMAKNMN_02490","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","2final_SemiBin_6.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_6.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"53","GBAOPJGB_01853","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","2final_SemiBin_8.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_8.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"54","GBAOPJGB_02889","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","2final_SemiBin_8.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_8.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"55","FEBCAICG_00839","gb|ADK17136.1|ARO:3004563|Cdif_rpoB_RIF","2final_SemiBin_9.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_9.fa","CARD-ARGs","ARO:3004563",42470,5315,3269,"Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","ADK17136.1","CP001666.1","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic","antibiotic target alteration;antibiotic target replacement","Cdif_rpoB_RIF"
"56","FEBCAICG_00979","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","2final_SemiBin_9.fa_PROKKA_07062024.faa.CARDbins.txt","2final_SemiBin_9.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
